City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
412,Zhigansk,RU,61.75,overcast clouds,66.77,123.37,ИП Пав
415,Gulu,UG,66.43,light rain,2.77,32.3,Idungo Inonga Guest House
418,Ishigaki,JP,82.63,clear sky,24.34,124.16,GranView ISHIGAKI
419,Kawalu,ID,66.79,light rain,-7.38,108.21,Hotel Surya
427,Tabligbo,TG,80.6,few clouds,6.59,1.5,CHÂTEAU
428,Artyom,RU,66.2,broken clouds,43.36,132.19,Райтекс
429,Bang Saphan,TH,80.65,overcast clouds,11.21,99.51,Hotel
432,Lagoa,PT,80.01,few clouds,37.14,-8.45,Lagoa Hotel
436,Danilov,RU,62.6,clear sky,58.19,40.17,Соть
439,Ulvik,NO,73.4,clear sky,60.57,6.92,Ulvik Hotel
440,Luanda,AO,73.4,scattered clouds,-8.83,13.24,Hotel Bikuku
452,Crewe,GB,82.0,clear sky,53.1,-2.44,No57 Mirion House
454,Minas,UY,64.4,overcast clouds,-34.38,-55.24,Hotel Verdún
455,Ylivieska,FI,60.01,broken clouds,64.07,24.53,Käenpesä
459,Magione,IT,82.4,clear sky,43.14,12.2,Albergo Villa Carpine
462,Erzincan,TR,72.0,broken clouds,39.75,39.49,Beyrut Otel
463,Oistins,BB,84.2,scattered clouds,13.07,-59.53,The Abidah By Accra
466,Kavieng,PG,83.35,scattered clouds,-2.57,150.8,Kavieng Niu Lodge
467,Pachino,IT,86.0,few clouds,36.72,15.09,Hotel Celeste
469,Potiskum,NG,77.23,light rain,11.71,11.08,TAMIR HOTEL LIMITED
471,Jamshedpur,IN,77.41,few clouds,22.8,86.2,The Boulevard
473,Merauke,ID,75.43,broken clouds,-8.49,140.4,Coreinn
474,Mahebourg,MU,72.0,broken clouds,-20.41,57.7,Grand Bel Air
477,Sola,TZ,75.79,few clouds,-3.17,33.8,Peace hotel
478,Hearst,CA,74.71,overcast clouds,49.69,-83.67,Companion Hotel
479,Ciechocinek,PL,86.0,clear sky,52.88,18.79,Abrava
481,Frederick,US,77.0,scattered clouds,39.41,-77.41,Francis Scott Key Hotel
486,Bubaque,GW,80.11,light rain,11.28,-15.83,Chez Julio
487,Pangai,TO,73.4,broken clouds,-19.8,-174.35,Billy's Place
489,Sistranda,NO,68.0,clear sky,63.73,8.83,Hotell Frøya
491,Springfield,US,86.0,light rain,37.22,-93.29,Hotel Vandivort
494,Beyneu,KZ,76.33,overcast clouds,45.32,55.19,Бейнеу
500,Vung Tau,VN,78.13,overcast clouds,10.35,107.08,Nhà nghỉ Ngân Hàng Công Thương
503,Mechanicsville,US,78.01,light intensity drizzle,37.62,-77.34,Hampton Inn Richmond Mechanicsville
505,Roanoke Rapids,US,75.0,light rain,36.46,-77.65,Baymont by Wyndham Roanoke Rapids
511,Quatre Cocos,MU,72.0,broken clouds,-20.21,57.76,Horisun
512,Benito Juarez,CU,89.6,scattered clouds,22.29,-79.63,La Casona
514,Syracuse,US,75.99,clear sky,43.05,-76.15,Quality Inn & Suites Downtown
515,Kisangani,CD,78.8,broken clouds,0.52,25.21,Hotel Kisangani
516,Illapel,CL,65.71,clear sky,-31.63,-71.17,Hotel Diaguitas
518,Foumban,CM,64.09,light rain,5.73,10.9,Hotel Pekassa de Karché
519,Kefamenanu,ID,61.75,few clouds,-9.45,124.48,Hotel Frawijaya
520,Vardo,US,77.0,few clouds,39.62,-77.74,Sleep Inn & Suites Hagerstown
522,Port Blair,IN,81.19,moderate rain,11.67,92.75,Lighthouse Residency
528,Calama,CL,77.0,clear sky,-22.46,-68.93,Hotel Pia
530,Sheridan,US,73.99,few clouds,39.65,-105.03,Residence Inn by Marriott Denver Southwest/Lakewood
532,Namatanai,PG,78.31,moderate rain,-3.66,152.44,Namatanai Hotel
538,Ternate,PH,78.8,broken clouds,14.29,120.72,Puerto Azul
539,Bouar,CF,66.79,overcast clouds,5.94,15.59,Mission catholique
541,Roma,IT,86.0,thunderstorm,41.89,12.48,47
545,Lima,PE,62.6,overcast clouds,-12.06,-77.04,1900 Backpacker's Hostel
546,Barabinsk,RU,70.03,broken clouds,55.35,78.35,"МКУ ""Провинция"""
552,Grong,NO,71.6,clear sky,64.47,12.32,Grong Vertshus
553,Moose Factory,CA,78.8,clear sky,51.26,-80.61,Cree Village Ecolodge
554,Tananger,NO,75.2,clear sky,58.94,5.59,Hummeren hotell
556,Estevan,CA,69.8,clear sky,49.14,-102.99,Days Inn
557,Eyl,SO,77.05,broken clouds,7.98,49.82,Amlin Hotel
559,Rovaniemi,FI,60.8,clear sky,66.5,25.72,Matkustajakoti Outa
562,Port-Gentil,GA,78.8,broken clouds,-0.72,8.78,Tara-Mé
563,Eureka,US,73.0,haze,40.8,-124.16,"Eureka Inn, Trademark Collection by Wyndham"
