City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather description
180,Sisophon,13.5859,102.9737,70.84,60,27,3.89,KH,scattered clouds
181,San Quintin,30.4833,-115.95,56.46,72,0,4.72,MX,clear sky
182,Ureki,41.9956,41.7786,46.36,66,0,3.71,GE,clear sky
183,Jacareacanga,-6.2222,-57.7528,87.85,56,75,2.66,BR,broken clouds
184,Tiznit,29.5833,-9.5,72.97,23,0,5.03,MA,clear sky
185,Qaanaaq,77.484,-69.3632,-17.75,64,0,8.25,GL,clear sky
186,Palembang,-2.9167,104.7458,77.09,94,40,3.44,ID,haze
187,Korla,41.7597,86.1469,20.16,57,2,1.52,CN,clear sky
188,Tadine,-21.55,167.8833,78.19,84,10,8.01,NC,clear sky
189,Dingle,10.9995,122.6711,75.02,93,100,14.43,PH,overcast clouds
190,Kholtoson,50.2981,103.3097,7.2,98,100,2.08,RU,light snow
191,Faanui,-16.4833,-151.75,79.93,77,45,13.62,PF,light rain
192,Tiruchchendur,8.4833,78.1167,79.16,76,80,3.04,IN,broken clouds
193,Lebu,-37.6167,-73.65,60.06,57,3,23.62,CL,clear sky
194,Ishigaki,24.3448,124.1572,59.77,62,80,26.46,JP,broken clouds
195,Thabazimbi,-24.5917,27.4116,88.21,24,0,6.17,ZA,clear sky
196,Crotone,39.0851,17.1178,58.96,75,40,4.43,IT,scattered clouds
197,Padang,-0.9492,100.3543,77.05,76,100,4.43,ID,overcast clouds
198,Lastoursville,-0.8143,12.7287,83.08,70,31,3.04,GA,light rain
199,Farah,32.5,62.5,40.89,41,0,3.44,AF,clear sky
200,Aykhal,66.0,111.5,-2.97,99,100,5.61,RU,overcast clouds
201,Arman,59.7,150.1667,6.69,67,100,12.64,RU,overcast clouds
202,Upernavik,72.7868,-56.1549,-0.53,92,17,13.29,GL,few clouds
203,Santa Engracia,41.9406,-1.3245,62.19,58,100,6.93,ES,overcast clouds
204,Esperance,-33.8667,121.9,63.52,79,73,6.53,AU,broken clouds
205,Vanimo,-2.6741,141.3028,79.41,90,71,6.73,PG,broken clouds
206,Bethel,41.3712,-73.414,49.55,84,100,12.66,US,mist
207,Austin,30.2672,-97.7431,19.65,49,0,17.27,US,clear sky
208,Shikhany,52.1167,47.2167,29.23,81,100,7.0,RU,overcast clouds
209,Kahului,20.8947,-156.47,71.83,84,0,5.75,US,clear sky
210,Cidreira,-30.1811,-50.2056,74.89,63,0,15.86,BR,clear sky
211,Khatanga,71.9667,102.5,-30.6,100,6,1.99,RU,clear sky
212,Chikwawa,-16.0335,34.8009,77.54,83,94,3.87,MW,light rain
213,Lerwick,60.1545,-1.1494,37.4,61,94,13.76,GB,overcast clouds
214,Moramanga,-18.9333,48.2,67.37,94,78,4.45,MG,light rain
215,Pangnirtung,66.1451,-65.7125,5.25,78,100,5.48,CA,overcast clouds
216,Rocha,-34.4833,-54.3333,88.3,25,100,10.6,UY,overcast clouds
217,Tarauaca,-8.1614,-70.7656,88.02,54,16,4.63,BR,few clouds
218,Husavik,66.0449,-17.3389,14.05,89,99,7.14,IS,overcast clouds
219,Norsup,-16.0667,167.3833,81.18,79,18,10.02,VU,few clouds
